Policy Area,Need Group,Agency,Type,Need,Request
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Queens Library (QL),Expense,"Library facilities, equipment and programs",Other expense budget request for QL
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Department of Citywide Administrative Services (DCAS),Capital,Community board facilities and staff,"Renovate, upgrade or provide new community board facilities and equipment"
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Department of Citywide Administrative Services (DCAS),Capital,Community board facilities and staff,Other capital budget request for DCAS
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Office of Management and Budget (OMB),Expense,Community board facilities and staff,Other community board facilities and staff requests
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Office of Management and Budget (OMB),Expense,Community board facilities and staff,Provide more community board staff
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Department of Information Technology and Telecommunications (DOITT),Expense,"Information technology hardware, software or services",Information technology goods and services
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Department of Information Technology and Telecommunications (DOITT),Expense,"Information technology hardware, software or services",Telecommunications related requests
"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Department of Information Technology and Telecommunications (DOITT),Expense,"Information technology hardware, software or services",Other expense budget request for DoiTT
Other Needs,Other,NYC Emergency Management (NYCEM),Expense,Emergency Management,Other expense request for NYCEM
Other Needs,Other,NYC Emergency Management (NYCEM),Capital,Emergency Management,Other capital request for NYCEM
Other Needs,Other,Department of Consumer and Worker Protection (DCWP),Expense,Consumer and worker protection,Other expense budget request for DCA
Other Needs,Other,Mayor's Office of Criminal Justice (MOCJ),Capital,Criminal justice,Other capital budget request for MOCJ
Other Needs,Other,Mayor's Office of Criminal Justice (MOCJ),Expense,Criminal justice,Other expense budget request for MOCJ
Other Needs,Other,Mayor's Office of Media and Entertainment (MOME),Expense,Media and entertainment,Other expense budget request for MOME
Other Needs,Other,Mayor's Office of Citywide Event Coordination and Management (CECM),Expense,Other needs,Other expense budget request for CECM
Other Needs,Other,Other,Capital,Other Capital Needs,Other capital request
Other Needs,Other,Other,Expense,Other Expense Needs,Other expense request
